Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
3284;TAXA ALCOHOL CONDUCTOR MES DE O.25 MG/L;TASA ALCOHOL CONDUCTOR MAS DE 0.25 MG/L;Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,25 mg/l;-;2016-01-31;9999-12-31;20. 1;RGC;500;M;4;Il.lm./a Sr./a  Regidor/a de Mobilitat
3285;REINCIDIR EN CONDUCCIO AMB TAXA ALCOHOL SUPERIOR A 0.25MG/L;REINCIDIR EN CONDUCCION CON TASA ALCOHOL SUPERIOR A 0.25MG/L;Conductor reincident. Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,25 mg/l;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;4;Il.lm./a Sr./a  Regidor/a de Mobilitat
3286;TAXA ALCOHOL SUP 0.30 MG/L SENSE PERMIS/LLICENCIA CONDUIR;TASA ALCOHOL SUP 0.30 MG/L SIN PERMISO/LICENCIA CONDUCIR;Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,30 mg/l i sense tenir el permis / la llicencia de conduir;-;1900-01-03;9999-12-31;20. 1;RGC;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3287;TAXA ALCOHOL CONDUCTOR SUPERIOR A 0.30 MG/L;TASA ALCOHOL CONDUCTOR SUPERIOR A 0.30 MG/L;Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,30 mg/l, conductor professional, servei public, mercaderies perilloses, transports especials, novells...;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;6;Il.lm./a Sr./a  Regidor/a de Mobilitat
3288;REINCIDIR EN CONDUCCIO AMB TAXA ALCOHOL SUPERIOR A 0.30MG/L;REINCIDIR EN CONDUCCION CON TASA ALCOHOL SUPERIOR A 0.30MG/L;Conductor reincident. Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,30 mg/l, conductor professional, servei public, mercaderies perilloses, transports especials, novells;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;6;Il.lm./a Sr./a  Regidor/a de Mobilitat
3289;CONDUIR BICI/VMP/CICLE TAXA ALCOH AIRE EXPIR SUP 0.50 MG/L;CONDUCIR BICI/VMP/CICLO TAXA ALCOH AIRE EXP SUP 0.50 MG/L;Conduir un bicicleta/vehicle mobilitat personal (VMP). Taxa d'alcohol en aire expirat superior a 0,50 mg/l;-;2017-07-01;9999-12-31;20. 1;RGC;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3290;TAXA ALCOHOL CONDUCTOR MES DE 0.50 MG/L;TASA ALCOHOL CONDUCTOR MAS DE 0.50 MG/L;Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,50 mg/l;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;6;Il.lm./a Sr./a  Regidor/a de Mobilitat
3291;REINCIDIR EN CONDUCCIO AMB TAXA ALCOHOL SUPERIOR A 0.50MG/L;REINCIDIR EN CONDUCCION CON TASA ALCOHOL SUPERIOR A 0.50MG/L;Conductor reincident. Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,50 mg/l;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;6;Il.lm./a Sr./a  Regidor/a de Mobilitat
3292;NEGATIVA A PROVES DETECC. ALCOHOLICACOND. SENSE PERMIS/LLIC;NEGATIVA A PRUEBAS DETEC. ALCOHOLICA COND. SIN PERMISO/LICEN;No sotmetre's a les proves de deteccio alcoholica, el conductor d'un vehicle, sense tenir el permis / la llicencia de conduir.;-;1900-01-03;9999-12-31;21. 1;RGC;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3293;NEGATIVA A PROVA DETECCIO ALCOHOLICA EL CONDUCTOR VEHICLE;NEGATIVA A PRUEBA DETECCION ALCOHOLICA EL CONDUCTOR VEHICUL;No sotmetre's a les proves de deteccio alcoholica, el conductor d'un vehicle;-;2022-03-21;9999-12-31;21. 1;RGC;1000;M;6;Il.lm./a Sr./a  Regidor/a de Mobilitat
3294;NEGATIVA A PROVES ALCOHOL CONDUCTOR BICI/VMP/CICLE;NEGATIVA A PRUEBAS  ALCOHOL CONDUCTOR BICI/VMP/CICLO;No sotmetre's, el conductor d'una bicicleta/vehicle mobilitat personal (VMP) a les proves de deteccio alcoholica;-;2017-07-01;9999-12-31;21. 1;RGC;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
