price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
1504,1,1,FALSE,FALSE,25,apartment,Ciutat Vella
1942,2,1,FALSE,FALSE,75,apartment,Ciutat Vella
7147,4,2,TRUE,FALSE,110,apartment,Eixample
695,1,1,TRUE,FALSE,50,apartment,Gracia
900,2,1,TRUE,FALSE,55,apartment,Sarria-Sant Gervasi
2000,2,2,TRUE,FALSE,73,apartment,Eixample
1150,2,1,TRUE,FALSE,64,apartment,Sarria-Sant Gervasi
779,2,1,FALSE,FALSE,42,apartment,Sant Martí
1100,1,1,TRUE,FALSE,45,apartment,Sarria-Sant Gervasi
1700,2,3,FALSE,TRUE,180,apartment,Sants-Montjuic
1418,1,1,FALSE,FALSE,45,apartment,Eixample
1348,2,1,FALSE,FALSE,58,apartment,Eixample
1430,1,1,FALSE,FALSE,60,apartment,Ciutat Vella
1102,1,1,FALSE,FALSE,40,apartment,Eixample
4600,4,4,FALSE,FALSE,220,apartment,Sarria-Sant Gervasi
1600,1,1,TRUE,FALSE,75,apartment,Ciutat Vella
1100,3,1,TRUE,FALSE,80,apartment,Eixample
1600,2,2,TRUE,FALSE,87,apartment,Eixample
1250,2,1,TRUE,FALSE,60,apartment,Ciutat Vella
2200,2,2,TRUE,FALSE,90,apartment,Eixample
675,1,1,FALSE,FALSE,34,apartment,Ciutat Vella
775,1,1,FALSE,FALSE,45,apartment,Ciutat Vella
700,1,1,FALSE,FALSE,36,apartment,Eixample
625,1,1,FALSE,FALSE,30,apartment,Ciutat Vella
1050,2,1,FALSE,FALSE,55,apartment,Les Corts
795,2,1,TRUE,FALSE,56,apartment,Sants-Montjuic
1800,1,1,TRUE,FALSE,65,apartment,Eixample
980,2,1,TRUE,TRUE,69,apartment,Sant Martí
13272,5,2,FALSE,FALSE,140,apartment,Eixample
2200,2,1,FALSE,FALSE,60,apartment,Sarria-Sant Gervasi
1333,1,1,FALSE,FALSE,50,apartment,Eixample
1797,1,1,FALSE,FALSE,50,apartment,Eixample
1467,1,1,FALSE,FALSE,55,apartment,Eixample
2600,1,1,FALSE,FALSE,45,apartment,Eixample
3450,1,1,FALSE,FALSE,60,apartment,Eixample
2117,2,1,FALSE,FALSE,45,apartment,Les Corts
1333,1,1,FALSE,FALSE,50,apartment,Eixample
2250,3,2,FALSE,FALSE,100,apartment,Ciutat Vella
2255,2,2,FALSE,FALSE,55,apartment,Sarria-Sant Gervasi
2255,2,2,FALSE,FALSE,55,apartment,Sarria-Sant Gervasi
2806,2,2,FALSE,FALSE,69,apartment,Eixample
1200,1,1,FALSE,FALSE,36,apartment,Ciutat Vella
950,1,1,TRUE,FALSE,50,apartment,Sarria-Sant Gervasi
2300,3,2,TRUE,FALSE,110,apartment,Eixample
2580,3,2,TRUE,FALSE,140,apartment,Eixample
1350,2,2,TRUE,FALSE,69,apartment,Ciutat Vella
1840,3,1,FALSE,FALSE,63,apartment,Gracia
1250,3,1,FALSE,FALSE,70,apartment,Sants-Montjuic
1475,1,1,FALSE,FALSE,41,apartment,Ciutat Vella
1475,1,1,FALSE,FALSE,41,apartment,Ciutat Vella
1452,1,1,FALSE,FALSE,45,apartment,Ciutat Vella
1785,1,1,FALSE,FALSE,50,apartment,Sant Martí
1736,1,1,FALSE,FALSE,47,apartment,Sant Martí
890,1,1,FALSE,FALSE,56,apartment,Gracia
3500,3,2,TRUE,TRUE,135,apartment,Ciutat Vella
2300,1,1,TRUE,TRUE,81,apartment,Eixample
