Time	User	ID	Text
Mon Apr 04 20:34:18 +0000 2016	hopetarragona	717087924899196928	@AfricaFanlo #lagentnormal33 #YoNoSoyComplice la prostitucion no tiene nada de idílico #tv3CompliceTrataMenors
Mon Apr 04 20:34:16 +0000 2016	OliverMagdalena	717087916049244161	RT @ShirleyMcLaren9: "El pecat mes gran de una dona es possarle preu a la sexualitat" @martinadlaterra #lagentnormal33 #PutaFeminista
Mon Apr 04 20:34:14 +0000 2016	laurenmacaya	717087908939825152	Quina lliço! Despres de Ferrari, Paula i Martina segons quins discursos son ridiculs! #LaGentNormal33
Mon Apr 04 20:34:14 +0000 2016	_donesPSC	717087905412464641	RT @ciktricstrans: Hoy a  22.00h @lagentnormal33 hace a  @tv3cat #tv3CompliceTrataMenors protesta en red @julia_otero https://t.co/2SptuDzM…
Mon Apr 04 20:34:12 +0000 2016	tmansillab	717087898286309376	RT @MDDONESCAT: #tv3ContraTractaMenors #lagentnormal33 Solución trata mujeres y menores es dar erechos como ciudadanas no como putas https:…
Mon Apr 04 20:34:09 +0000 2016	amolasalberti	717087887129444353	#lagentnormal33 el programa és molt interessant però hauria de ser més llarg per aprofundir més en els temes tractats cada setmana.
Mon Apr 04 20:34:06 +0000 2016	RedLibreTrata	717087874244612097	RT @MDDONESCAT: #tv3ContraTractaMenors #lagentnormal33 Solución trata mujeres y menores es dar erechos como ciudadanas no como putas https:…
Mon Apr 04 20:34:01 +0000 2016	Acefalx	717087852090277888	RT @PutasIndignadas: "Hay una santidad sobre la sexualidad d las mujeres, hay q entregarla por amor y gratis" @NataliaxFerrari #PutaFeminis…
Mon Apr 04 20:33:58 +0000 2016	ShirleyMcLaren9	717087839503138820	RT @ejanet15: .#LaGentNormal33 #putafemista Tertulia  Normalidad siempre desde la Perpectiva TrabajoSom@s Profesionalidad dl Sexo https://…
Mon Apr 04 20:33:54 +0000 2016	tmansillab	717087821975187457	RT @MDDONESCAT: Prostitución: pacto entre hombres para repartise entre las mujeres #tv3complicetractamenors #lagentnormal33 https://t.co/BD…
Mon Apr 04 20:33:51 +0000 2016	ocarreras	717087810029797376	I ara toca baixar un canal i esperar a que comenci #NitidiaTV3 ! Molt bon enfoc (com sempre) a #lagentnormal33! Pels despistats 3alacarta!
Mon Apr 04 20:33:45 +0000 2016	iolandapineda	717087786713661440	RT @imoraleda: Per que estudien i es formen per a altres feines?Aquestes dones no son lliures malgrat ho vulguin fer veure #yonosoycomplice…
Mon Apr 04 20:33:45 +0000 2016	RedLibreTrata	717087785564372992	RT @marcanelo: La prostitució és una forma d'explotació, no una professió que s'hagi de reglamentar, és una forma de violència de gènere #l…
Mon Apr 04 20:33:38 +0000 2016	GemmaPalma95	717087754748870656	RT @NuriaGlamEscort: #lagentnormal33 #nosaltresdecidim ...per si algú en tenia algun dubte
Mon Apr 04 20:33:35 +0000 2016	RedLibreTrata	717087741402562561	RT @MDDONESCAT: #tv3complicetractamenors #lagentnormal33 Dad voz al 90 % de la prostitución que es tráfico de mujeres y menores https://t.c…
Mon Apr 04 20:33:30 +0000 2016	_donesPSC	717087721219559424	RT @ROSA_M_IBARRA: #laGentNormal33 fa un retrat idíl·lic de la prostitució quan en realitat és una mercantilització del cos de la dona en u…
Mon Apr 04 20:33:26 +0000 2016	gnesa_llocs	717087707604844544	RT @lagentnormal33: "El client ve, es queda, i marxa,  però tu poses les teves normes, sempre" @PaulaVip #lagentnormal33 https://t.co/VDL4e…
Mon Apr 04 20:33:21 +0000 2016	_MCampos3	717087685542809600	Dones que volen decidir VS dones que volen prohibir. Les dues es diuen feministes autèntiques.  #lagentnormal33
Mon Apr 04 20:33:21 +0000 2016	gnesa_llocs	717087685425410048	RT @SilCatNa: "Les putes són empresàries. Porten el seu propi negoci. El client ve, i marxa, o es queda, però tu poses les teves normes". #…
Mon Apr 04 20:33:16 +0000 2016	HeuraVidal	717087665661804544	Una setmana +, interessantissim programa @lagentnormal33 sobre prostitució exercida voluntàriament. Felicitats! i gràcies! #laGentNormal33
Mon Apr 04 20:33:10 +0000 2016	gnesa_llocs	717087639178985474	RT @PutasIndignadas: Efectivamente! Es nuestro cuerpo y nuestras decisiones! #PutaFeminista #lagentnormal33 @carpeamorem @NataliaxFerrari
Mon Apr 04 20:33:06 +0000 2016	moisesta	717087622955417601	ser puta es guai, doncs com un afalac per els responsables de #LaGentNormal33 i els de CCMA: Sou uns fills de la gran puta!!!!!
Mon Apr 04 20:33:01 +0000 2016	gnesa_llocs	717087601598021632	RT @sandrace_: EMBOBADA escuchando a mis compañeras y sintiéndome muy orgullosa de compartir lucha con éstas guerreras ♥ #PutaFeminista #la…
Mon Apr 04 20:33:01 +0000 2016	_donesPSC	717087601073721345	RT @imoraleda: Voldrien que les seves filles o fills fossin putes? #yonosoycomplice  #lagentnormal33
Mon Apr 04 20:32:58 +0000 2016	_donesPSC	717087589191262209	RT @moisesta: Les putes estudien idiomes... Podriem fer mil acudits si no fos q es la justificació d la tele3 d l'explotació de la dona...…
Mon Apr 04 20:32:53 +0000 2016	nuriavchimeno	717087565988421632	RT @Balsebre: Moment de peli Almodóvar durant la classe d'anglès de les prostitutes al #LaGentNormal33
Mon Apr 04 20:32:51 +0000 2016	elena_tralala	717087557872443394	Aprendre mirant la tele és possible amb @lagentnormal33 #lagentnormal33
Mon Apr 04 20:32:51 +0000 2016	gnesa_llocs	717087557004234752	RT @ShirleyMcLaren9: La vulnerabilidad se encuentra en cualquier tipo de trabajo @NataliaxFerrari #lagentnormal33 #PutaFeminista
Mon Apr 04 20:32:49 +0000 2016	emmily23	717087549181861888	RT @ShirleyMcLaren9: "A mi no em preguntaran mai per que me he fet periodista @samantavillar #lagentnormal33 #putafeminista
Mon Apr 04 20:32:47 +0000 2016	ejanet15	717087541653057536	.#LaGentNormal33 #putafemista Tertulia Normalidad siempre desde la Perpectiva TrabajoSom@s Profesionalidad dl Sexo https://t.co/Y98EZrnXt2
Mon Apr 04 20:32:44 +0000 2016	imoraleda	717087527799275525	Per que estudien i es formen per a altres feines?Aquestes dones no son lliures malgrat ho vulguin fer veure #yonosoycomplice #lagentnormal33
Mon Apr 04 20:32:41 +0000 2016	gnesa_llocs	717087516789186561	RT @ejanet15: .#LaGentNormal33 #putafemista Yo soy Periodista, también Vendo mí Tiempo, Utilizad@ mí Cuerpo pk como Trabajo... https://t.co…
