supplier_name,desc_cpv,amount_awarded
"UTE Indra Soluciones Tecnologías de la Información, S.L.U. - TSystems ITC Iberia, S.A.U", IT services,85977975.0
PREZERO ESPAÑA SAU," Sewage-, refuse-, cleaning-, and environmental services",83064249.49
"Gas Natural Comercializadora, SA"," Petroleum products, fuel, electricity and other sources of energy",80483993.08
"PRICEWATERHOUSECOOPERS ASESORES DE NEGOCIOS, S.L.", IT services,80419508.9
"MERCK SHARP & DOHME DE ESPAÑA, SA"," Medical equipments, pharmaceuticals and personal care products",79601443.13
Jornet Llop Pastor," Architectural, construction, engineering and inspection services",79218229.2
"Indra Soluciones Tecnologías de la Información, S.L.U.", IT services,79071188.77
SEIDOR SOLUTIONS SL, IT services,75690116.59
"VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A."," Sewage-, refuse-, cleaning-, and environmental services",75232377.72
"Saytel Servicios Informáticos, SA", IT services,74681855.59
"FCC CONSTRUCCIÓN, S.A. Y COMSA, S.A.U., UTE, LEY 18/1982 DE 26 DE MAYO (abreujadament UTE FIRA P.ZERO)", Construction work,74533908.83
TotalEnergies Electricidad y Gas España SA," Petroleum products, fuel, electricity and other sources of energy",73245000.0
"URBASER, S.A."," Sewage-, refuse-, cleaning-, and environmental services",70967690.34
RED ESPAÑOLA DE SERVICIOS S.A.U.," Petroleum products, fuel, electricity and other sources of energy",70003153.18
"CRC Obras y Servicios, SL", Construction work,67837863.34
"Siemens Rail Automation, SAU", Construction work,64416916.58
"TELEFÓNICA DE SOLUCIONES INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, SAU", IT services,63887629.260000005
"Copisa Constructora Pirenaica, SA", Construction work,57184919.09
"CRC Obras y Servicios, SL",Not Specified,38994207.67
"TELEFÓNICA DE SOLUCIONES INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, SAU", Business services,29533138.37
"Copisa Constructora Pirenaica, SA",Not Specified,21306819.240000002
"ENDESA ENERGIA, SAU"," Architectural, construction, engineering and inspection services",20819222.0
"Siemens Rail Automation, SAU",Not Specified,16116086.370000001
FCC MEDIO AMBIENTE SA, Construction work,15581158.42
"Gas Natural Comercializadora, SA",Not Specified,13516970.27
"CRC Obras y Servicios, SL"," Architectural, construction, engineering and inspection services",9151441.72
"VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A."," Architectural, construction, engineering and inspection services",7860201.13
SEIDOR SOLUTIONS SL, Repair and maintenance services,4876746.9
ENDESA ENERGÍA SAU," Architectural, construction, engineering and inspection services",2111000.8600000003
"URBASER, S.A."," Architectural, construction, engineering and inspection services",1686293.0
ENDESA ENERGIA SAU," Architectural, construction, engineering and inspection services",1576199.24
"VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A.", Construction work,849677.16
"Siemens Rail Automation, SAU", Transport equipment and auxiliary products to transportation,829942.52
"Indra Soluciones Tecnologías de la Información, S.L.U.", Repair and maintenance services,813310.05
"ENDESA ENERGÍA, S.A.U.", Construction work,733922.71
"TELEFÓNICA DE SOLUCIONES INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, SAU", Repair and maintenance services,694346.1
ALSTOM TRANSPORTE SAU, Repair and maintenance services,600000.0
"KPMG ASESORES, S.L.", Business services,586891.75
"MULTISERVEIS NDAVANT, SL",Not Specified,487339.82999999996
FCC MEDIO AMBIENTE SAU, Construction work,430682.82
"ENDESA ENERGIA, SAU", Construction work,382775.0
"NTT DATA SPAIN, S.L.U.", Business services,380003.49
ENDESA ENERGIA SAU, Construction work,359752.07
URBASER SA, Construction work,344819.2
"URBASER, S.A.", Construction work,208952.96000000002
ENDESA ENERGIA SAU, Repair and maintenance services,160732.09
ALSTOM TRANSPORTE SAU," Architectural, construction, engineering and inspection services",156800.0
"Indra Soluciones Tecnologías de la Información, S.L.U.", Business services,146777.0
URBASER SA," Architectural, construction, engineering and inspection services",126094.19
"T-SYSTEMS ITC IBERIA, S.A.U.",Not Specified,121116.31
"INDRA SOLUCIONES TECNOLOGÍAS DE LA INFORMACIÓN, S.L.U.", Repair and maintenance services,119600.0
"PRICEWATERHOUSECOOPERS ASESORES DE NEGOCIOS, S.L.", Business services,106500.0
"T-SYSTEMS ITC IBERIA, S.A.U."," Architectural, construction, engineering and inspection services",101650.0
"URBASER, SA", Construction work,95118.69
FCC MEDIO AMBIENTE SA,Not Specified,75139.19
"SOPRA STERIA ESPAÑA, S.A.", Business services,70822.67
"SANOFI-AVENTIS,S.A.",Not Specified,57000.0
"CAPGEMINI ESPAÑA, S.L."," Architectural, construction, engineering and inspection services",50000.0
"SECURITAS SEGURIDAD ESPAÑA, S.A.", Construction work,43588.490000000005
"SECURITAS SEGURIDAD ESPAÑA, S.A.", IT services,33600.0
"NTT DATA SPAIN, S.L.U."," Architectural, construction, engineering and inspection services",27630.0
"INDRA SOLUCIONES TECNOLOGÍAS DE LA INFORMACIÓN, S.L.U.", Business services,24142.86
"ALSTOM TRANSPORTE, SA", Repair and maintenance services,18320.38
"ALSTOM TRANSPORTE, SA"," Architectural, construction, engineering and inspection services",14890.0
"Indra Soluciones Tecnologías de la Información, S.L.U."," Architectural, construction, engineering and inspection services",14832.1
"KPMG ASESORES, S.L."," Architectural, construction, engineering and inspection services",14500.0
SEIDOR SOLUTIONS SL, Business services,12600.0
ENDESA ENERGIA S.A.U,Not Specified,7023.26
SEIDOR SOLUTIONS SL,Not Specified,6640.9
"SECURITAS SEGURIDAD ESPAÑA, S.A.", Repair and maintenance services,6358.69
"URBASER, SA"," Architectural, construction, engineering and inspection services",5842.62
"GAS NATURAL COMERCIALIZADORA, S.A.", Business services,137.94
"GAS NATURAL COMERCIALIZADORA, S.A.", Construction work,128.36
"MULTISERVEIS NDAVANT, SL", Business services,107.28
